County,State,Administered_Dose_Count,Death Per 100k,Avg Temp (F),Max Temp (F),Min Temp (F),Population Estimate,Administered Dose Per 100k,65 plus per 100k,5 Under per 100k
Canyon County,Idaho,126102.0,2498.11777672563,52.5,65.0,39.9,257674.0,48938.58130816458,14715.105132842275,6626.590187601388
Cape Girardeau County,Missouri,45783.0,6278.318712040876,58.6,69.5,47.8,82984.0,55170.87631350623,18280.632411067192,5479.369517015329
Cape May County,New Jersey,84760.0,4362.11816932671,57.3,66.4,48.2,94610.0,89588.83838917661,30583.447838494874,4169.749497938908
Carbon County,Montana,5827.0,2443.296260618268,44.0,54.8,33.1,11419.0,51028.986776425256,28653.99772309309,3914.528417549698
Carbon County,Pennsylvania,47087.0,3680.22243270494,50.3,60.4,40.3,65458.0,71934.6756698952,23075.86544043509,4576.98065935409
Carbon County,Utah,11803.0,4318.501625503421,44.3,56.5,32.1,20609.0,57271.09515260324,19510.893299044106,5905.187054199622
Carbon County,Wyoming,8749.0,3125.436026231338,40.8,53.3,28.4,14334.0,61036.69596762942,19680.47997767546,5211.3855169527
Caribou County,Idaho,3236.0,3144.4798448538577,41.6,53.3,29.8,7219.0,44826.15320681535,18423.604377337582,6302.812023826014
Carlisle County,Kentucky,2222.0,4230.442176870748,60.6,71.2,49.9,4704.0,47236.39455782313,20301.87074829932,6313.775510204081
Carlton County,Minnesota,25839.0,3228.784792939579,41.9,52.0,31.7,36825.0,70167.00610997963,18949.08350305499,5287.169042769858
Caroline County,Maryland,21593.0,2438.007918316316,58.1,69.0,47.2,33593.0,64278.2722591016,17845.979817223826,6376.328401750364
Caroline County,Virginia,15576.0,2233.455882352941,58.7,70.3,47.2,32640.0,47720.58823529412,17380.514705882353,5536.151960784314
Carroll County,Arkansas,17463.0,2779.8986603734297,59.3,70.8,47.7,28814.0,60605.95543832859,24321.510376900118,5438.328590268619
Carroll County,Georgia,54256.0,4159.782215298431,62.8,74.5,51.1,127098.0,42688.31924971282,14425.089301169177,6135.423059371508
Carroll County,Illinois,10747.0,3014.298595903645,50.9,60.8,41.0,15526.0,69219.37395336854,24945.25312379235,4218.729872471982
Carroll County,Indiana,8591.0,2129.110840438489,53.2,63.5,42.8,20525.0,41856.27283800244,21159.56151035323,5144.945188794153
Carroll County,Iowa,13413.0,4536.594873793977,50.4,61.7,39.2,20522.0,65359.12679076113,21757.1386804405,5862.001754214989
Carroll County,Kentucky,5832.0,3531.446254664604,57.4,67.9,46.9,10987.0,53080.91380722672,16683.35305360881,7044.689178119595
Carroll County,Maryland,138755.0,3534.327073862511,55.5,66.4,44.6,176639.0,78552.86771324565,18291.543770062104,5480.669614298088
Carroll County,Mississippi,4755.0,3303.6182485579443,66.2,77.4,54.8,9535.0,49868.90403775564,25988.463555322494,3828.0020975353964
Carroll County,Missouri,4877.0,3658.681921105947,55.7,66.9,44.6,8391.0,58121.7971636277,22965.08163508521,5327.13621737576
Carroll County,New Hampshire,43408.0,3304.2251372788287,46.7,56.8,36.7,52448.0,82763.88041488713,31585.57046979866,3174.5729103111653
Carroll County,Ohio,12851.0,2728.156065475745,52.3,62.3,42.3,26758.0,48026.7583526422,22957.620150982882,4951.790118842963
Carroll County,Tennessee,15873.0,4501.039501039501,60.8,71.6,50.1,28860.0,55000.00000000001,20114.345114345113,5207.900207900208
Carroll County,Virginia,11741.0,3368.7882622524708,54.3,65.2,43.4,29239.0,40155.272068128186,26741.68063203256,4391.395054550429
Carson City,Nevada,42684.0,7192.087669722241,49.2,62.0,36.4,58036.0,73547.45330484527,21416.01764422083,4807.36094837687
Carson County,Texas,2453.0,2687.9891119428376,60.5,74.4,46.6,5878.0,41731.88159237836,21044.572984008166,5018.713848247703
Carter County,Kentucky,15536.0,2628.385041341121,56.2,68.0,44.3,26366.0,58924.37229765607,20249.563832208147,5283.319426534173
Carter County,Missouri,2475.0,3903.4508768621536,58.8,70.5,47.1,5303.0,46671.6952668301,21006.977182726758,6864.039223081275
Carter County,Montana,464.0,2961.9181946403382,45.7,58.9,32.6,1418.0,32722.143864598023,29760.225669957686,5641.748942172074
Carter County,Oklahoma,27438.0,4584.7394847312535,64.5,75.9,53.0,48596.0,56461.43715532142,17128.981809202403,6519.055066260597
Carter County,Tennessee,26817.0,4615.762337343482,55.1,66.6,43.6,57022.0,47029.21679351829,23068.289432148995,4172.073936375434
Carteret County,North Carolina,67382.0,4980.248509660274,63.7,72.6,54.9,69615.0,96792.35796882855,27866.12080729728,3527.975292681175
Carver County,Minnesota,78800.0,1803.578342652872,47.4,57.2,37.6,111057.0,70954.55486822082,15175.99070747454,5851.949899601105
Cascade County,Montana,52508.0,5383.981154299176,45.0,56.6,33.4,84900.0,61846.87868080095,20138.987043580684,5709.06949352179
Casey County,Kentucky,6842.0,3285.5886417891693,57.7,68.2,47.2,15918.0,42982.78678225908,21020.22867194371,5767.056162834527
Cass County,Illinois,8334.0,2445.2207049857097,54.7,66.0,43.4,12596.0,66163.86154334708,18505.874880914576,6684.661797395999
Cass County,Indiana,20365.0,3300.0584081134184,52.8,63.0,42.6,37666.0,54067.3286252854,19099.453087665268,6010.72585355493
Cass County,Iowa,8209.0,4927.646610814928,51.4,62.8,40.1,13130.0,62520.94440213252,23754.760091393753,5354.150799695354
Cass County,Michigan,26815.0,2786.4916153518457,51.4,61.0,41.8,51642.0,51924.78989969405,23062.6234460323,4622.206730955424
Cass County,Minnesota,19754.0,2877.9495007314126,43.2,53.5,32.9,31446.0,62818.80048336831,27545.633784901103,4633.339693442727
Cass County,Missouri,68557.0,2773.6011169584363,57.6,68.7,46.6,111732.0,61358.42909819926,18366.269287222996,5531.987255217843
Cass County,Nebraska,18278.0,1923.7775996502223,53.2,64.8,41.6,27446.0,66596.22531516432,19161.26211469795,5232.092108139619
Cass County,North Dakota,137124.0,4159.664293498742,42.6,52.9,32.3,196362.0,69832.24860207169,13176.174616269951,6169.727340320429
Cass County,Texas,12696.0,4291.845493562232,66.6,77.5,55.8,28659.0,44300.2198262326,22485.08321993091,5830.629121741861
Cassia County,Idaho,12507.0,2899.28393524284,45.9,57.2,34.7,25696.0,48672.94520547945,14850.560398505606,7783.312577833126
Castro County,Texas,4001.0,2684.3780268437804,60.0,74.3,45.8,7227.0,55361.83755361837,17185.55417185554,7845.57907845579
Caswell County,North Carolina,14447.0,2876.309904853773,59.4,71.3,47.6,22807.0,63344.58718814399,23484.01806462928,4691.542070416977
Catahoula Parish,Louisiana,4663.0,3197.052531495128,68.8,80.6,57.0,8414.0,55419.53886379844,19372.474447349654,5585.928214879962
Catawba County,North Carolina,130890.0,4976.160830878557,60.2,71.8,48.6,164645.0,79498.31455555893,19064.654256126818,5257.371921406663
Catoosa County,Georgia,36266.0,3186.7653461036134,61.9,72.7,51.1,68910.0,52628.06559280221,19093.01988100421,5007.981425047163
Catron County,New Mexico,2048.0,3294.117647058824,49.5,65.8,33.2,3825.0,53542.483660130725,43084.967320261436,2640.5228758169937
Cattaraugus County,New York,49141.0,4072.751322751323,48.3,58.5,38.1,75600.0,65001.322751322754,21179.894179894178,5437.830687830688
Cavalier County,North Dakota,2569.0,3559.5105672969967,39.4,49.8,29.1,3596.0,71440.489432703,27836.484983314796,5728.587319243604
Cayuga County,New York,49523.0,3559.1058602403173,49.1,57.6,40.5,74485.0,66487.2121903739,22023.226152916694,4669.396522789823
Cecil County,Maryland,76817.0,3414.338708456356,56.7,66.1,47.2,105672.0,72693.80725263078,17649.897796956622,5629.684306154894
Cedar County,Iowa,12341.0,2972.352748333516,51.7,62.6,40.9,18302.0,67429.78909408808,21964.81258878811,4682.548355370997
Cedar County,Missouri,5355.0,3625.9541984732814,59.5,71.1,47.8,14672.0,36498.09160305344,23439.203925845148,6842.966194111233
Centre County,Pennsylvania,122679.0,2610.3488703697835,50.9,60.9,40.9,157795.0,77745.80943629392,16407.99771855889,3518.4891789980675
Cerro Gordo County,Iowa,29874.0,6176.012828373344,48.2,58.7,37.6,42406.0,70447.57817290006,24345.61147007499,5246.899023723058
Chaffee County,Colorado,14720.0,2934.471552602221,37.6,51.0,24.3,20617.0,71397.39050298298,26196.82786050347,3618.3731871756318
Chambers County,Alabama,13099.0,3471.345990199243,63.2,75.2,51.1,34079.0,38437.16071480971,21142.052290266733,5410.956894275067
Chambers County,Texas,24584.0,1614.8192144925383,71.9,80.9,63.0,53876.0,45630.70755067191,11884.698195857152,6643.032147895167
Champaign County,Illinois,159598.0,3518.7022232596137,54.2,64.8,43.6,205644.0,77608.87747758262,14516.348641341348,5007.683180642275
Champaign County,Ohio,19547.0,2677.3072467499032,53.1,63.0,43.2,38845.0,50320.50456944266,19855.83730209808,5555.41253700605
Chariton County,Missouri,3294.0,5419.651304230301,55.9,66.9,44.9,7399.0,44519.5296661711,25043.924854710098,5703.473442357075
Charles City County,Virginia,7162.0,2859.304084720121,60.8,71.3,50.3,6610.0,108350.98335854764,27367.624810892587,3570.3479576399395
Charles County,Maryland,138950.0,2359.091252696644,59.3,69.7,48.8,171973.0,80797.56705994545,14157.454949323439,5618.323806644066
Charles Mix County,South Dakota,7592.0,3538.961038961039,49.5,61.5,37.4,9240.0,82164.50216450216,19112.554112554113,8225.108225108226
Charleston County,South Carolina,334462.0,4528.156053604545,66.9,76.0,57.9,424367.0,78814.32816406553,18467.034430104133,5552.505260776639
Charlevoix County,Michigan,17768.0,3329.63798310333,47.1,55.9,38.3,26159.0,67923.08574486793,28200.6192897282,4193.585381704193
Charlotte County,Florida,154570.0,5368.837746320355,75.5,85.4,65.7,206134.0,74985.20379947024,40553.717484742934,2688.5424044553542
Charlotte County,Virginia,5260.0,3219.830628087509,58.1,69.4,46.8,11336.0,46400.84685956246,22882.851093860267,6007.4100211714895
Charlton County,Georgia,4146.0,2304.0049481985466,69.7,81.6,57.8,12934.0,32055.048708829443,15617.751662285447,4383.794649760322
Chase County,Kansas,1368.0,3877.4718883288097,57.2,69.5,44.9,2579.0,53043.81543233812,24466.84761535479,5234.5870492438935
Chatham County,Georgia,194341.0,4888.442475836064,67.7,77.7,57.8,303655.0,64000.592777988175,17179.694060693877,5662.676392616621
Chatham County,North Carolina,77082.0,3757.4732921689697,61.4,72.8,50.0,81624.0,94435.46015877684,25940.899735371946,4430.069587376262
Chattahoochee County,Georgia,34213.0,923.6808682600162,65.8,77.5,54.0,8661.0,395023.6693222492,5749.9134049186005,8278.489781780394
Chattooga County,Georgia,10991.0,2906.193006105781,61.5,72.4,50.6,25222.0,43577.03592102133,19205.455554674492,5435.7307112838
Chautauqua County,Kansas,1631.0,4481.6253361219,59.8,72.3,47.2,3347.0,48730.20615476546,25425.754406931585,5318.195398864655
Chautauqua County,New York,86773.0,3845.753497049427,49.6,58.9,40.2,124891.0,69478.98567550904,21951.942093505535,5154.895068499732
Chaves County,New Mexico,37255.0,3955.255581252655,62.5,78.2,46.8,63561.0,58612.98595050424,16878.274413555482,5783.4206510281465
Cheatham County,Tennessee,28552.0,2624.6035878260045,60.8,72.1,49.5,42254.0,67572.30084725707,16500.212997586026,5519.00411795333
Cheboygan County,Michigan,15036.0,3716.216216216216,46.1,55.7,36.6,26048.0,57724.20147420147,29468.67321867322,3750.7678132678134
Chelan County,Washington,61726.0,4663.924897183644,44.5,53.2,35.7,79997.0,77160.39351475681,21603.310124129654,5356.450866907509
Chemung County,New York,60280.0,4500.461112818936,49.4,59.6,39.1,81325.0,74122.34860129112,20924.684906240393,5159.545035351983
Chenango County,New York,31728.0,3961.23693379791,47.4,56.9,37.9,45920.0,69094.07665505227,22767.85714285714,5050.087108013937
Cherokee County,Alabama,10300.0,3822.1771994077767,62.4,73.9,51.0,25666.0,40130.91249123354,25169.484921686275,4706.615756253409
Cherokee County,Georgia,148737.0,2097.6825004710363,61.4,72.7,50.2,286602.0,51896.70693156363,16426.612514916156,5345.74078338602
Cherokee County,Iowa,6618.0,4971.994829814735,48.9,59.4,38.3,11605.0,57027.14347264111,25325.290822921153,5609.651012494614
Cherokee County,Kansas,11490.0,3222.420489136139,59.9,71.6,48.3,19054.0,60302.29872992548,20536.370315944157,5615.618767712816
Cherokee County,North Carolina,21075.0,4165.693113922361,57.1,69.5,44.7,29959.0,70346.13972428985,32140.59214259488,4182.382589539036
Cherokee County,Oklahoma,33752.0,4098.785929231089,61.6,73.2,49.9,48185.0,70046.69502957352,18138.424821002387,5499.63681643665
Cherokee County,South Carolina,23798.0,3173.8195154635537,60.8,73.0,48.6,56714.0,41961.42046055648,17739.887858377122,5838.064675388792
Cherokee County,Texas,24121.0,3167.550797632955,68.2,79.3,57.1,52217.0,46193.76831300152,18132.025968554302,6702.7979393684045
Cherry County,Nebraska,2295.0,2676.6205389657684,49.0,61.8,36.3,5492.0,41788.05535324108,22997.08667152221,7010.196649672252
Cheshire County,New Hampshire,56930.0,3436.1607659935908,48.2,57.5,38.8,77703.0,73266.15445993077,22925.755762325778,4460.574237802916
Chester County,Pennsylvania,583896.0,2822.5630429405,55.0,65.2,44.8,549784.0,106204.61854109976,18415.23216390437,5325.00036377923
Chester County,South Carolina,17931.0,3531.310122261528,62.2,73.9,50.4,32226.0,55641.40755911375,19810.091230683298,5498.665673679638
Chester County,Tennessee,7056.0,2749.0628194933543,61.7,73.3,50.0,17606.0,40077.24639327502,17425.87754174713,5219.811427922299
Chesterfield County,South Carolina,21879.0,3661.056982580455,63.1,74.6,51.6,44031.0,49689.99114260407,19620.267538779495,5725.511571392882
Chesterfield County,Virginia,236034.0,2679.511092123498,59.9,71.5,48.2,383876.0,61487.04269086893,16524.606904312852,5807.083537392283
Cheyenne County,Colorado,646.0,4284.887087434859,51.7,66.5,36.9,1727.0,37405.90619571511,21887.666473653735,5327.156919513607
Cheyenne County,Kansas,1327.0,4855.842185128983,52.3,66.0,38.5,2636.0,50341.42640364189,27162.36722306525,6752.655538694992
Cheyenne County,Nebraska,4161.0,3553.086678545226,48.9,62.1,35.6,9541.0,43611.780735771936,23016.45529818677,5649.303008070433
Chickasaw County,Iowa,7126.0,3302.453250986447,48.1,58.9,37.3,11658.0,61125.40744553097,23408.817979070165,5609.881626351003
Chickasaw County,Mississippi,9652.0,2650.302383493419,65.0,76.4,53.6,16866.0,57227.55840151784,19050.16008537887,6622.791414680422
Chicot County,Arkansas,6926.0,4550.220171943804,66.4,77.4,55.3,9538.0,72614.80394212622,23159.99161249738,4833.298385405746
Childress County,Texas,3795.0,4537.418974661167,64.7,78.4,51.0,6788.0,55907.48379493223,16956.39363582793,4625.810253388332
Chilton County,Alabama,20270.0,2954.922357907433,64.8,76.9,52.9,46431.0,43656.1779845362,17557.23546768323,6129.525532510607
Chippewa County,Michigan,28690.0,3521.398632252371,43.4,52.5,34.4,36264.0,79114.27310831679,19873.703948819766,4329.362453121554
Chippewa County,Minnesota,7052.0,4148.866250410779,45.9,57.0,34.9,12172.0,57936.24712454814,22149.19487348012,6367.0719684521855
Chippewa County,Wisconsin,40424.0,2634.0152307003136,45.9,56.0,35.8,66970.0,60361.355830969085,20289.68194714051,5099.298193220845
Chisago County,Minnesota,36255.0,2770.9917143589305,46.3,56.4,36.2,58535.0,61937.30246860853,17709.062953788332,5482.190142649697
Chittenden County,Vermont,146838.0,3772.694284315056,47.4,56.4,38.3,169481.0,86639.80033160059,17550.049858096187,4195.750556109534
Choctaw County,Alabama,10711.0,3583.088475350963,67.4,79.2,55.6,12252.0,87422.4616389161,24812.275546849494,5256.284688214169
Choctaw County,Mississippi,3554.0,3635.014836795252,64.1,75.9,52.4,8088.0,43941.64193867458,23800.692383778438,5328.8822947576655
Choctaw County,Oklahoma,6382.0,4328.943681703559,64.8,76.7,52.9,14276.0,44704.39899131409,21042.308769963576,6892.687027178482
Chouteau County,Montana,2126.0,2394.3902856165555,46.4,59.1,33.7,5847.0,36360.52676586284,24080.725158200785,4002.0523345305287
Chowan County,North Carolina,11256.0,5593.549780433374,62.5,72.3,52.6,13891.0,81030.88330573753,26628.7524296307,5003.239507594845
Christian County,Illinois,17724.0,3813.049235584447,55.9,66.7,45.2,33228.0,53340.55615745756,20627.18189478753,4490.188997231251
Christian County,Kentucky,31881.0,2916.7592181252776,59.8,70.2,49.4,72032.0,44259.49577965349,13024.7667703243,9418.036428254109
Christian County,Missouri,48078.0,1862.9133041028576,57.8,69.8,45.9,94422.0,50918.218211857406,17213.14947787592,6024.019825888035
Churchill County,Nevada,16252.0,4080.920823160098,50.9,65.1,36.6,25803.0,62984.92423361625,19617.873890632873,5948.920668139363
Cibola County,New Mexico,26795.0,3375.653472740851,49.5,65.2,33.8,26780.0,100056.01194921584,18338.31217326363,5126.960418222554
Cimarron County,Oklahoma,916.0,2738.4755819260613,55.7,70.5,41.0,2191.0,41807.3938840712,25376.540392514835,5340.027384755819
Citrus County,Florida,99091.0,6426.668906272496,73.1,83.3,62.8,166696.0,59444.13783174162,36478.979699572876,3402.601142198973
Clackamas County,Oregon,328806.0,3180.732230080842,49.6,58.3,40.9,423173.0,77700.13682347408,20454.99122108452,4653.179668835204
Claiborne County,Mississippi,5825.0,3272.6006730880817,68.3,80.0,56.6,8617.0,67598.93234304282,18579.552048276662,6011.372867587327
Claiborne County,Tennessee,17809.0,4716.114411710663,57.2,68.6,45.8,32654.0,54538.4945182826,20582.470753965823,4918.233600783978
Claiborne Parish,Louisiana,7224.0,4125.822970007315,66.2,77.4,54.8,13670.0,52845.64740307243,22911.485003657646,4696.415508412582
Clallam County,Washington,60096.0,4710.368996083282,48.6,56.2,41.0,77616.0,77427.33457019171,32986.75530818388,3782.72521129664
Clare County,Michigan,14947.0,4071.401200664197,47.5,57.6,37.5,31316.0,47729.59509515902,25862.17907778771,5007.025162856048
Clarendon County,South Carolina,20030.0,3851.115985034189,65.1,76.4,53.9,31004.0,64604.56715262547,25719.262030705715,4502.6448200232235
Clarion County,Pennsylvania,19752.0,4008.65566675683,50.7,61.5,39.9,36970.0,53427.10305653232,20857.45198809846,4733.567757641331
Clark County,Arkansas,13250.0,3567.735263702172,63.8,75.3,52.2,21274.0,62282.5984770142,16823.352448998776,5518.4732537369555
Clark County,Idaho,425.0,2496.878901373283,39.6,50.8,28.3,801.0,53058.676654182265,21972.534332084895,7990.012484394507
Clark County,Illinois,9415.0,3466.330858960764,56.1,67.1,45.1,15088.0,62400.58324496288,20658.80169671262,5169.671261930011
Clark County,Indiana,87514.0,3211.999968119107,57.6,69.0,46.1,125467.0,69750.61171463413,17186.192385248713,5619.804410721544
Clark County,Kansas,1030.0,6713.589604764484,58.2,72.2,44.2,1847.0,55766.10720086627,22306.44288034651,5522.4688684353005
Clark County,Kentucky,23267.0,4407.03409822003,57.5,68.8,46.1,37304.0,62371.32747158482,18861.248123525627,5811.709200085782
Clark County,Missouri,2642.0,2996.536666164734,54.2,64.6,43.8,6641.0,39783.16518596597,21728.655322993527,5601.5660292124685
Clark County,Nevada,1683567.0,3349.863239881656,63.8,75.0,52.5,2336573.0,72052.83121905457,16282.906632919236,5485.512329381535
Clark County,Ohio,78432.0,4635.61399598841,54.3,64.2,44.4,134610.0,58266.102072654336,20598.02392095684,5732.857885744002
Clark County,South Dakota,2411.0,2482.2695035461,44.9,55.8,34.0,3948.0,61068.89564336373,23530.901722391085,8434.650455927052
Clark County,Washington,373109.0,3034.2511752854266,52.8,61.9,43.6,521150.0,71593.39921327833,17087.019092391824,5451.597428763312
Clark County,Wisconsin,14341.0,2792.316098234313,46.0,56.0,35.9,34774.0,41240.582044055904,17889.802726174727,8126.7613734399265
Clarke County,Alabama,15202.0,4253.033084120518,67.4,78.9,55.8,22337.0,68057.48309978958,20965.214666248823,6070.645117965707
Clarke County,Georgia,69427.0,5112.634973409373,63.6,75.0,52.0,129933.0,53432.92312191668,12922.814065710789,4728.590889150562
Clarke County,Iowa,5739.0,3775.55277430121,52.8,63.7,41.8,9588.0,59856.07008760952,19284.522319566124,6612.432206925323
Clarke County,Mississippi,10465.0,3395.061728395061,67.6,79.5,55.7,15228.0,68722.09088521145,22543.997898607828,6159.705805095876
Clarke County,Virginia,11977.0,3129.4452347083925,56.0,67.4,44.6,15466.0,77440.83796715376,23619.552566920986,4467.8649941807835
Clatsop County,Oregon,32264.0,3620.261787747555,50.9,59.5,42.3,41102.0,78497.39672035424,26081.45589022432,4082.526397742203
Clay County,Alabama,6945.0,4620.508822904118,62.8,74.9,50.8,14111.0,49216.922967897386,21855.290199135427,5527.60257954787
Clay County,Arkansas,7895.0,4520.808393775086,61.5,72.1,50.9,14201.0,55594.67643123723,21730.864023660306,5562.988521935075
Clay County,Florida,146651.0,3933.505134680497,71.8,82.5,61.1,232439.0,63092.25216078197,17426.07737944149,5186.306945047948
Clay County,Georgia,2326.0,3785.488958990537,67.3,78.0,56.4,2853.0,81528.21591307396,29582.895198037153,5012.267788293025
Clay County,Illinois,5508.0,3769.520732364029,57.2,67.7,46.7,12999.0,42372.4901915532,21570.890068466804,6008.154473421033
Clay County,Indiana,17005.0,3057.445200302343,55.8,67.0,44.5,26460.0,64266.81783824642,19603.174603174604,5706.727135298564
Clay County,Iowa,9322.0,3403.791411786082,48.3,59.1,37.6,16511.0,56459.33014354066,22863.54551511114,5426.685240142935
Clay County,Kansas,5499.0,4321.218933433246,56.5,68.8,44.3,8007.0,68677.40726863994,24128.88722367928,5282.877482203073
Clay County,Kentucky,10352.0,4127.64657980456,57.7,69.5,45.9,19648.0,52687.29641693811,16424.06351791531,5333.876221498372
Clay County,Minnesota,54371.0,1995.2307645869173,43.1,53.2,32.9,66258.0,82059.52488756074,14386.187328322616,6037.006852002777
Clay County,Mississippi,10737.0,3817.42282763924,65.3,76.7,53.8,18206.0,58975.06316598924,20322.970449302426,5987.037240470175
Clay County,Missouri,164793.0,3597.3853995041804,56.2,67.4,45.1,259772.0,63437.55293103182,15697.611751843924,5870.532620913725
Clay County,North Carolina,8169.0,3615.981119352664,56.2,68.0,44.3,11864.0,68855.36075522589,34136.88469318948,3674.983142279164
Clay County,South Dakota,12647.0,1892.2947313848745,49.2,60.2,38.2,15431.0,81958.39543775517,12883.157280798394,4264.14360702482
Clay County,Tennessee,2613.0,3850.142597873996,59.3,71.2,47.4,7714.0,33873.476795436865,25641.690432978998,4770.547057298419
Clay County,Texas,5269.0,2775.190910784131,66.4,79.3,53.5,10738.0,49068.7278822872,24203.76233935556,5038.182156826224
Clay County,West Virginia,5370.0,3816.009250931517,55.7,67.1,44.3,7783.0,68996.53090068097,22934.601053578313,5589.10445843505
Clayton County,Georgia,155981.0,1779.0814616158232,64.1,75.5,52.8,298300.0,52289.97653369092,11204.827355011734,6520.616828695944
Clayton County,Iowa,9448.0,3541.752607696388,49.0,59.3,38.8,16969.0,55678.00106075785,25929.63639578054,5510.047734103365
Clear Creek County,Colorado,5576.0,1956.9257680113697,37.0,48.6,25.4,9147.0,60959.87755548266,24423.308188477098,3400.02186509238
Clearfield County,Pennsylvania,46465.0,5071.99377351148,50.1,60.6,39.6,77090.0,60273.70605785446,22609.936437929693,4461.019587495135
Clearwater County,Idaho,4406.0,4493.162578684611,45.5,55.9,35.0,9214.0,47818.537008899504,28934.230518775777,3635.7716518341654
Clearwater County,Minnesota,4134.0,3331.7908375751963,41.6,51.7,31.6,8644.0,47825.0809810273,21205.4604349838,5738.084220268394
Cleburne County,Alabama,5278.0,3318.6265106464607,62.6,74.2,50.9,15639.0,33748.960931005815,19521.70854913997,5914.700428416139
Cleburne County,Arkansas,13604.0,3926.115150324229,61.9,72.7,51.1,25445.0,53464.33483985066,27506.386323442723,4448.811161328355
Clermont County,Ohio,130778.0,2233.313833902591,55.9,67.2,44.6,211972.0,61695.88436208556,18998.26392165003,5444.115260506104
Cleveland County,Arkansas,5097.0,3537.544049878016,64.9,75.8,53.9,7378.0,69083.76253727298,22011.385199240987,5096.232041203578
Cleveland County,North Carolina,70135.0,4872.852098088343,60.2,72.6,47.8,101378.0,69181.6764978595,19314.841484345714,5784.29245003847
Cleveland County,Oklahoma,215718.0,2664.40455123459,62.5,74.4,50.6,301193.0,71621.18641535494,15429.973472159048,4606.016740096881
Clinch County,Georgia,3207.0,3824.4885858286393,68.7,80.7,56.7,6746.0,47539.28253780017,17506.670619626446,7011.562407352505
Clinton County,Illinois,25051.0,2751.1213809976894,57.7,68.5,46.8,36785.0,68101.12817724617,19252.41266820715,5420.687780345249
Clinton County,Indiana,18102.0,3510.5407882676445,53.2,63.5,42.8,32730.0,55307.05774518791,16828.597616865263,6397.800183318057
Clinton County,Iowa,28833.0,4083.7991247454393,52.2,62.4,42.1,46158.0,62465.87807097361,20845.79054551757,5665.323454222454
Clinton County,Kentucky,5043.0,3880.629645824224,58.6,69.3,48.0,9148.0,55126.80367293398,21053.78224748579,5837.341495408833
Clinton County,Michigan,47763.0,2097.340692423482,50.4,59.7,41.0,79720.0,59913.44706472654,19480.68238835926,4944.806823883593
Clinton County,Missouri,12171.0,4854.278819379989,55.0,66.4,43.7,21548.0,56483.200297011324,19315.017635047334,5620.011137924634
Clinton County,New York,65685.0,3913.460922998144,45.9,55.0,36.8,78115.0,84087.56320809064,19754.208538692954,4421.685975804903
Clinton County,Ohio,23166.0,3588.6308359959944,55.5,65.8,45.2,41938.0,55238.68567885927,19366.68415279699,5803.805617816777
Clinton County,Pennsylvania,19978.0,2725.5564123700374,50.4,60.8,40.0,37607.0,53123.08878666205,20650.410827771426,5203.8184380567445
Cloud County,Kansas,4842.0,5150.214592274678,56.7,69.2,44.1,8854.0,54687.14705217981,20939.688276485205,5997.289360740908
Coahoma County,Mississippi,13711.0,4711.85934153509,65.3,75.9,54.7,20077.0,68292.07550928924,17099.168202420682,7311.849379887433
Coal County,Oklahoma,2699.0,4595.518420053171,64.1,76.2,52.0,5266.0,51253.323205469045,21420.432966198252,6798.328902392708
Cobb County,Georgia,523638.0,2812.899504726789,62.8,73.8,51.7,776743.0,67414.57599231663,14102.347880830595,5550.227037771824
Cochise County,Arizona,109753.0,3373.7163029525027,62.0,77.8,46.1,124640.0,88056.00128369706,25639.44159178434,4969.512195121952
Cochran County,Texas,1282.0,2670.3866082104423,60.9,76.1,45.6,2509.0,51096.05420486249,15145.476285372659,8449.581506576325
Cocke County,Tennessee,20825.0,5355.0422414715,58.8,69.8,47.7,37404.0,55675.86354400599,22158.057961715323,5143.834883969628
Coconino County,Arizona,137911.0,3114.790409214242,52.7,67.1,38.3,144472.0,95458.63558336564,15004.983664654741,4553.823578271222
Codington County,South Dakota,20208.0,3234.268751510131,44.1,54.7,33.6,28971.0,69752.51113182148,20330.675503089296,5388.146767457112
Coffee County,Alabama,32411.0,3317.5781320202004,67.5,79.3,55.6,55643.0,58248.117463113056,17547.58010890858,6083.424689538666
Coffee County,Georgia,19530.0,3813.7451808758688,67.8,79.2,56.4,43317.0,45086.22480781218,14758.639794999654,6678.671191449084
Coffee County,Tennessee,30779.0,4500.849372453944,59.7,71.2,48.1,60633.0,50762.78594164894,17760.95525538898,6219.385483152739
Coffey County,Kansas,4979.0,3999.515210277542,58.8,70.9,46.7,8251.0,60344.2007029451,23439.583080838685,4702.460307841474
Coke County,Texas,1865.0,5190.930787589499,67.5,80.3,54.7,3352.0,55638.42482100239,27058.47255369929,5280.429594272076
Colbert County,Alabama,32476.0,4504.720618221072,62.6,74.3,50.9,58361.0,55646.750398382486,20969.483045184283,5683.5900687102685
Cole County,Missouri,47959.0,4596.392246176143,58.7,69.9,47.4,77278.0,62060.35352881804,18723.31064468542,5455.6277336369985
Coleman County,Texas,3362.0,5751.083907166539,68.1,81.0,55.2,7842.0,42871.71639887784,25478.194338179033,5445.039530731957
Coles County,Illinois,26028.0,4793.747286148502,55.4,66.2,44.6,46060.0,56508.9014329136,19046.895353886233,4897.959183673469
Colfax County,Nebraska,5635.0,1268.2188150671966,52.2,63.8,40.5,10566.0,53331.44046943025,14423.622941510506,8262.350936967632
